INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "1572359"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.306786, acc = 0.1016:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.373159, acc = 0.1133:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.059765, acc = 0.2068:  18%|█▊        | 72/391 [00:04<00:21, 15.02it/s]
Epoch 0 train | loss = 2.058352, acc = 0.2077:  18%|█▊        | 72/391 [00:04<00:21, 15.02it/s]
Epoch 0 train | loss = 2.056185, acc = 0.2078:  18%|█▊        | 72/391 [00:04<00:21, 15.02it/s]
Epoch 0 train | loss = 2.056185, acc = 0.2078:  19%|█▉        | 74/391 [00:04<00:20, 15.12it/s]
Epoch 0 train | loss = 2.054954, acc = 0.2069:  19%|█▉        | 74/391 [00:04<00:20, 15.12it/s]
Epoch 0 train | loss = 2.054182, acc = 0.2067:  19%|█▉        | 74/391 [00:04<00:20, 15.12it/s]
Epoch 0 train | loss = 2.054182, acc = 0.2067:  19%|█▉        | 76/391 [00:04<00:20, 15.08it/s]
Epoch 0 train | loss = 2.054578, acc = 0.2065:  19%|█▉        | 76/391 [00:05<00:20, 15.08it/s]
Epoch 0 train | loss = 2.053050, acc = 0.2062:  19%|█▉        | 76/391 [00:05<00:20, 15.08it/s]
Epoch 0 train | loss = 2.053050, acc = 0.2062:  20%|█▉        | 78/391 [00:05<00:20, 15.16it/s]
Epoch 0 train | loss = 2.050532, acc = 0.2068:  20%|█▉        | 78/391 [00:05<00:20, 15.16it/s]
Epoch 0 train | loss = 2.050559, acc = 0.2069:  20%|█▉        | 78/391 [00:05<00:20, 15.16it/s]
Epoch 0 train | loss = 2.050559, acc = 0.2069:  20%|██        | 80/391 [00:05<00:20, 15.09it/s]
Epoch 0 train | loss = 2.049476, acc = 0.2077:  20%|██        | 80/391 [00:05<00:20, 15.09it/s]
Epoch 0 train | loss = 2.048286, acc = 0.2084:  20%|██        | 80/391 [00:05<00:20, 15.09it/s]
Epoch 0 train | loss = 2.048286, acc = 0.2084:  21%|██        | 82/391 [00:05<00:20, 15.19it/s]
Epoch 0 train | loss = 2.046552, acc = 0.2087:  21%|██        | 82/391 [00:05<00:20, 15.19it/s]
Epoch 0 train | loss = 2.046353, acc = 0.2088:  21%|██        | 82/391 [00:05<00:20, 15.19it/s]
Epoch 0 train | loss = 2.046353, acc = 0.2088:  21%|██▏       | 84/391 [00:05<00:20, 15.14it/s]
Epoch 0 train | loss = 2.046299, acc = 0.2094:  21%|██▏       | 84/391 [00:05<00:20, 15.14it/s]
Epoch 0 train | loss = 2.045963, acc = 0.2098:  21%|██▏       | 84/391 [00:05<00:20, 15.14it/s]
Epoch 0 train | loss = 2.045963, acc = 0.2098:  22%|██▏       | 86/391 [00:05<00:20, 15.11it/s]
Epoch 0 train | loss = 2.045143, acc = 0.2103:  22%|██▏       | 86/391 [00:05<00:20, 15.11it/s]
Epoch 0 train | loss = 2.045069, acc = 0.2108:  22%|██▏       | 86/391 [00:05<00:20, 15.11it/s]
Epoch 0 train | loss = 2.045069, acc = 0.2108:  23%|██▎       | 88/391 [00:05<00:20, 15.03it/s]
Epoch 0 train | loss = 2.044147, acc = 0.2116:  23%|██▎       | 88/391 [00:05<00:20, 15.03it/s]
Epoch 0 train | loss = 2.043558, acc = 0.2115:  23%|██▎       | 88/391 [00:05<00:20, 15.03it/s]
Epoch 0 train | loss = 2.043558, acc = 0.2115:  23%|██▎       | 90/391 [00:05<00:19, 15.09it/s]
Epoch 0 train | loss = 2.043806, acc = 0.2115:  23%|██▎       | 90/391 [00:05<00:19, 15.09it/s]
Epoch 0 train | loss = 2.042572, acc = 0.2112:  23%|██▎       | 90/391 [00:06<00:19, 15.09it/s]
Epoch 0 train | loss = 2.042572, acc = 0.2112:  24%|██▎       | 92/391 [00:06<00:19, 15.23it/s]
Epoch 0 train | loss = 2.042146, acc = 0.2109:  24%|██▎       | 92/391 [00:06<00:19, 15.23it/s]
Epoch 0 train | loss = 2.040222, acc = 0.2112:  24%|██▎       | 92/391 [00:06<00:19, 15.23it/s]
Epoch 0 train | loss = 2.040222, acc = 0.2112:  24%|██▍       | 94/391 [00:06<00:19, 15.32it/s]
Epoch 0 train | loss = 2.038684, acc = 0.2113:  24%|██▍       | 94/391 [00:06<00:19, 15.32it/s]
Epoch 0 train | loss = 2.035916, acc = 0.2122:  24%|██▍       | 94/391 [00:06<00:19, 15.32it/s]
Epoch 0 train | loss = 2.035916, acc = 0.2122:  25%|██▍       | 96/391 [00:06<00:19, 15.40it/s]
Epoch 0 train | loss = 2.033851, acc = 0.2125:  25%|██▍       | 96/391 [00:06<00:19, 15.40it/s]
Epoch 0 train | loss = 2.031986, acc = 0.2133:  25%|██▍       | 96/391 [00:06<00:19, 15.40it/s]
Epoch 0 train | loss = 2.031986, acc = 0.2133:  25%|██▌       | 98/391 [00:06<00:19, 15.38it/s]
Epoch 0 train | loss = 2.029991, acc = 0.2137:  25%|██▌       | 98/391 [00:06<00:19, 15.38it/s]
Epoch 0 train | loss = 2.027542, acc = 0.2145:  25%|██▌       | 98/391 [00:06<00:19, 15.38it/s]
Epoch 0 train | loss = 2.027542, acc = 0.2145:  26%|██▌       | 100/391 [00:06<00:18, 15.32it/s]
Epoch 0 train | loss = 2.025754, acc = 0.2150:  26%|██▌       | 100/391 [00:06<00:18, 15.32it/s]
Epoch 0 train | loss = 2.023879, acc = 0.2151:  26%|██▌       | 100/391 [00:06<00:18, 15.32it/s]
Epoch 0 train | loss = 2.023879, acc = 0.2151:  26%|██▌       | 102/391 [00:06<00:18, 15.32it/s]
Epoch 0 train | loss = 2.022478, acc = 0.2155:  26%|██▌       | 102/391 [00:06<00:18, 15.32it/s]
Epoch 0 train | loss = 2.023342, acc = 0.2156:  26%|██▌       | 102/391 [00:06<00:18, 15.32it/s]
Epoch 0 train | loss = 2.023342, acc = 0.2156:  27%|██▋       | 104/391 [00:06<00:18, 15.39it/s]
Epoch 0 train | loss = 2.021055, acc = 0.2165:  27%|██▋       | 104/391 [00:06<00:18, 15.39it/s]
Epoch 0 train | loss = 2.020028, acc = 0.2173:  27%|██▋       | 104/391 [00:06<00:18, 15.39it/s]
Epoch 0 train | loss = 2.020028, acc = 0.2173:  27%|██▋       | 106/391 [00:06<00:18, 15.29it/s]
Epoch 0 train | loss = 2.019025, acc = 0.2181:  27%|██▋       | 106/391 [00:06<00:18, 15.29it/s]
Epoch 0 train | loss = 2.017500, acc = 0.2185:  27%|██▋       | 106/391 [00:07<00:18, 15.29it/s]
Epoch 0 train | loss = 2.017500, acc = 0.2185:  28%|██▊       | 108/391 [00:07<00:18, 15.44it/s]
Epoch 0 train | loss = 2.016467, acc = 0.2189:  28%|██▊       | 108/391 [00:07<00:18, 15.44it/s]
Epoch 0 train | loss = 2.014395, acc = 0.2193:  28%|██▊       | 108/391 [00:07<00:18, 15.44it/s]
Epoch 0 train | loss = 2.014395, acc = 0.2193:  28%|██▊       | 110/391 [00:07<00:18, 15.45it/s]
Epoch 0 train | loss = 2.013857, acc = 0.2192:  28%|██▊       | 110/391 [00:07<00:18, 15.45it/s]
Epoch 0 train | loss = 2.012802, acc = 0.2196:  28%|██▊       | 110/391 [00:07<00:18, 15.45it/s]
Epoch 0 train | loss = 2.012802, acc = 0.2196:  29%|██▊       | 112/391 [00:07<00:18, 15.35it/s]
Epoch 0 train | loss = 2.011176, acc = 0.2205:  29%|██▊       | 112/391 [00:07<00:18, 15.35it/s]
Epoch 0 train | loss = 2.010246, acc = 0.2207:  29%|██▊       | 112/391 [00:07<00:18, 15.35it/s]
Epoch 0 train | loss = 2.010246, acc = 0.2207:  29%|██▉       | 114/391 [00:07<00:17, 15.42it/s]
Epoch 0 train | loss = 2.008723, acc = 0.2214:  29%|██▉       | 114/391 [00:07<00:17, 15.42it/s]
Epoch 0 train | loss = 2.008149, acc = 0.2215:  29%|██▉       | 114/391 [00:07<00:17, 15.42it/s]
Epoch 0 train | loss = 2.008149, acc = 0.2215:  30%|██▉       | 116/391 [00:07<00:17, 15.45it/s]
Epoch 0 train | loss = 2.007554, acc = 0.2216:  30%|██▉       | 116/391 [00:07<00:17, 15.45it/s]
