INFO - mli_cifar10 - Running command 'main'
INFO - mli_cifar10 - Started run with ID "hi_from_fileobserver"

  0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.302111, acc = 0.1250:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.300327, acc = 0.1289:   0%|          | 0/391 [00:00<?, ?it/s]
Epoch 0 train | loss = 2.139038, acc = 0.1756:  27%|██▋       | 106/391 [00:03<00:10, 28.37it/s]
Epoch 0 train | loss = 2.136798, acc = 0.1768:  27%|██▋       | 106/391 [00:03<00:10, 28.37it/s]
Epoch 0 train | loss = 2.135158, acc = 0.1776:  27%|██▋       | 106/391 [00:03<00:10, 28.37it/s]
Epoch 0 train | loss = 2.135158, acc = 0.1776:  28%|██▊       | 110/391 [00:03<00:09, 29.24it/s]
Epoch 0 train | loss = 2.133001, acc = 0.1790:  28%|██▊       | 110/391 [00:03<00:09, 29.24it/s]
Epoch 0 train | loss = 2.131985, acc = 0.1792:  28%|██▊       | 110/391 [00:03<00:09, 29.24it/s]
Epoch 0 train | loss = 2.129827, acc = 0.1800:  28%|██▊       | 110/391 [00:03<00:09, 29.24it/s]
Epoch 0 train | loss = 2.128984, acc = 0.1801:  28%|██▊       | 110/391 [00:03<00:09, 29.24it/s]
Epoch 0 train | loss = 2.128984, acc = 0.1801:  29%|██▉       | 114/391 [00:03<00:09, 29.93it/s]
Epoch 0 train | loss = 2.128148, acc = 0.1802:  29%|██▉       | 114/391 [00:03<00:09, 29.93it/s]
Epoch 0 train | loss = 2.127116, acc = 0.1800:  29%|██▉       | 114/391 [00:03<00:09, 29.93it/s]
Epoch 0 train | loss = 2.126224, acc = 0.1801:  29%|██▉       | 114/391 [00:03<00:09, 29.93it/s]
Epoch 0 train | loss = 2.124749, acc = 0.1803:  29%|██▉       | 114/391 [00:03<00:09, 29.93it/s]
Epoch 0 train | loss = 2.124749, acc = 0.1803:  30%|███       | 118/391 [00:03<00:09, 30.33it/s]
Epoch 0 train | loss = 2.123546, acc = 0.1807:  30%|███       | 118/391 [00:03<00:09, 30.33it/s]
Epoch 0 train | loss = 2.122659, acc = 0.1812:  30%|███       | 118/391 [00:03<00:09, 30.33it/s]
Epoch 0 train | loss = 2.120791, acc = 0.1827:  30%|███       | 118/391 [00:04<00:09, 30.33it/s]
Epoch 0 train | loss = 2.118641, acc = 0.1831:  30%|███       | 118/391 [00:04<00:09, 30.33it/s]
Epoch 0 train | loss = 2.118641, acc = 0.1831:  31%|███       | 122/391 [00:04<00:08, 30.69it/s]
Epoch 0 train | loss = 2.117186, acc = 0.1834:  31%|███       | 122/391 [00:04<00:08, 30.69it/s]
Epoch 0 train | loss = 2.116189, acc = 0.1836:  31%|███       | 122/391 [00:04<00:08, 30.69it/s]
Epoch 0 train | loss = 2.114883, acc = 0.1837:  31%|███       | 122/391 [00:04<00:08, 30.69it/s]
Epoch 0 train | loss = 2.113268, acc = 0.1842:  31%|███       | 122/391 [00:04<00:08, 30.69it/s]
Epoch 0 train | loss = 2.113268, acc = 0.1842:  32%|███▏      | 126/391 [00:04<00:08, 30.96it/s]
Epoch 0 train | loss = 2.112104, acc = 0.1848:  32%|███▏      | 126/391 [00:04<00:08, 30.96it/s]
Epoch 0 train | loss = 2.109608, acc = 0.1860:  32%|███▏      | 126/391 [00:04<00:08, 30.96it/s]
Epoch 0 train | loss = 2.108693, acc = 0.1862:  32%|███▏      | 126/391 [00:04<00:08, 30.96it/s]
